GRIDCODE,LONG,LATITUDE,Huso,Pob
18550,-100.491513,19.113371,6,743
18551,-100.405768,19.11249,6,1440
18552,-100.320024,19.111559,6,3922
18553,-100.234282,19.11058,6,3211
18554,-100.14854,19.109552,6,1473
18555,-100.0628,19.108476,6,4520
18556,-99.977062,19.10735,6,5385
18557,-99.891324,19.106176,6,2535
18558,-99.805589,19.104954,6,113
18559,-99.719855,19.103682,6,43
18560,-99.634122,19.102362,6,39189
18561,-99.548391,19.100993,6,39226
18562,-99.462662,19.099576,6,15686
18563,-99.376935,19.098109,6,7594
18564,-99.29121,19.096594,6,260
18565,-99.205486,19.095031,6,5186
18566,-99.119765,19.093418,6,0
18567,-99.034045,19.091757,6,0
18568,-98.948328,19.090047,6,2
18569,-98.862613,19.088289,6,23501
18570,-98.7769,19.086481,6,44787
18571,-98.69119,19.084625,6,2068
18572,-98.605482,19.082721,6,0
18573,-98.519776,19.080767,6,16045
18574,-98.434073,19.078765,6,20615
18575,-98.348372,19.076715,6,91152
18576,-98.262674,19.074615,6,329305
18577,-98.176978,19.072467,6,547644
18578,-98.091286,19.070271,6,178264
18579,-98.005596,19.068025,6,60256
18580,-97.919909,19.065731,6,24795
18581,-97.834224,19.063388,6,11301
18582,-97.748543,19.060997,6,10933
18583,-97.662865,19.058557,6,2228
18584,-97.57719,19.056068,6,5125
18585,-97.491518,19.053531,6,3907
18586,-97.40585,19.050945,6,6662
18587,-97.320184,19.04831,6,2065
18588,-97.234522,19.045627,6,617
18589,-97.148864,19.042895,6,14919
18590,-97.063208,19.040114,6,44365
18591,-96.977557,19.037285,6,20562
18592,-96.891909,19.034407,6,10401
18593,-96.806264,19.03148,6,14220
18594,-96.720623,19.028505,6,2805
18595,-96.634987,19.025481,6,3928
18596,-96.549353,19.022409,6,2889
18597,-96.463724,19.019288,6,10482
18598,-96.378099,19.016118,6,7685
18599,-96.292478,19.0129,6,4947
18600,-96.20686,19.009633,6,7882
18601,-96.121247,19.006318,6,11782
18602,-96.035638,19.002954,6,2947
18603,-95.950034,18.999541,6,2534
18604,-95.864433,18.99608,6,0
18605,-95.778838,18.99257,6,0
18606,-95.693246,18.989012,6,0
18607,-95.607659,18.985405,6,0
18608,-95.522077,18.981749,6,0
18609,-95.436499,18.978045,6,0
18610,-95.350926,18.974293,6,0
18611,-95.265357,18.970491,6,0
18612,-95.179793,18.966642,6,0
18613,-95.094235,18.962743,6,0
18614,-95.008681,18.958797,6,0
18615,-94.923132,18.954801,6,0
18616,-94.837588,18.950757,6,0
18617,-94.752049,18.946665,6,0
18618,-94.666516,18.942524,6,0
18619,-94.580987,18.938334,6,0
18620,-94.495464,18.934097,6,0
18621,-94.409947,18.92981,6,0
18622,-94.324434,18.925475,6,0
18623,-94.238927,18.921092,6,0
18624,-94.153426,18.91666,6,0
18625,-94.06793,18.912179,6,0
18626,-93.98244,18.90765,6,0
18627,-93.896956,18.903073,6,0
18628,-93.811477,18.898447,6,0
18629,-93.726004,18.893773,6,0
18630,-93.640537,18.88905,6,0
18631,-93.555076,18.884279,6,0
18632,-93.469621,18.879459,6,0
18633,-93.384172,18.874591,6,0
18634,-93.29873,18.869675,6,0
18635,-93.213293,18.86471,6,0
18636,-93.127863,18.859697,6,0
18637,-93.042438,18.854635,6,0
18638,-92.957021,18.849525,6,0
18639,-92.871609,18.844366,6,0
18640,-92.786205,18.839159,6,0
18641,-92.700806,18.833904,6,0
18642,-92.615415,18.8286,6,0
18643,-92.53003,18.823248,6,0
18644,-92.444651,18.817848,6,0
18645,-92.35928,18.812399,6,0
18646,-92.273915,18.806902,6,0
18647,-92.188558,18.801356,6,0
18648,-92.103207,18.795762,6,0
18649,-92.017863,18.79012,6,0
18650,-91.932526,18.78443,6,0
18651,-91.847197,18.778691,6,0
18652,-91.761874,18.772904,6,0
18653,-91.676559,18.767068,6,0
18654,-91.591251,18.761185,6,24
18655,-91.505951,18.755253,6,5599
18656,-91.420658,18.749272,6,0
18657,-91.335373,18.743244,6,0
18658,-91.250095,18.737167,6,0
18659,-91.164824,18.731042,6,0
18660,-91.079562,18.724869,6,873
18661,-90.994307,18.718647,6,1060
18662,-90.90906,18.712377,6,1148
18663,-90.823821,18.706059,6,256
18664,-90.738589,18.699693,6,425
18665,-90.653366,18.693279,6,10
18666,-90.568151,18.686816,6,0
18667,-90.482943,18.680305,6,0
18668,-90.397744,18.673746,6,0
18669,-90.312553,18.667139,6,2155
18670,-90.227371,18.660484,6,14
18671,-90.142196,18.65378,6,2768
18672,-90.05703,18.647029,6,0
18673,-89.971873,18.640229,6,0
18674,-89.886724,18.633381,6,0
18675,-89.801584,18.626485,6,0
18676,-89.716452,18.619541,6,0
18677,-89.631329,18.612548,6,0
18678,-89.546214,18.605508,6,0
18679,-89.461109,18.59842,6,2
18680,-89.376012,18.591283,6,1081
18681,-89.290924,18.584098,6,393
18682,-89.205845,18.576866,6,0
18683,-89.120775,18.569585,6,0
18684,-89.035715,18.562256,6,0
18685,-88.950663,18.55488,6,7
18686,-88.865621,18.547455,6,1
18687,-88.780587,18.539982,6,21
18688,-88.695564,18.532461,6,18
18689,-88.610549,18.524892,6,1205
18690,-88.525544,18.517275,6,4471
18691,-88.440549,18.50961,6,4964
18692,-88.355563,18.501898,6,50628
18693,-88.270586,18.494137,6,84320
18694,-88.18562,18.486328,6,0
18695,-88.100663,18.478472,6,0
18696,-88.015716,18.470567,6,0
18697,-87.930778,18.462615,6,0
18698,-87.845851,18.454614,6,0
18699,-87.760933,18.446566,6,10
18700,-87.676026,18.43847,6,0
18701,-87.591128,18.430326,6,0
18702,-87.506241,18.422134,6,0
18703,-87.421364,18.413894,6,0
18704,-87.336497,18.405607,6,0
18705,-87.251641,18.397271,6,0
18706,-87.166795,18.388888,6,0
18707,-87.081959,18.380457,6,0
18708,-86.997134,18.371978,6,0
18709,-117.081145,18.445997,6,0
18710,-116.996278,18.454521,6,0
18711,-116.911401,18.462997,6,0
18712,-116.826514,18.471425,6,0
18713,-116.741616,18.479806,6,0
18714,-116.656708,18.488138,6,0
18715,-116.57179,18.496423,6,0
18716,-116.486861,18.50466,6,0
18717,-116.401922,18.512849,6,0
18718,-116.316973,18.52099,6,0
18719,-116.232014,18.529083,6,0
18720,-116.147045,18.537128,6,0
18721,-116.062066,18.545125,6,0
18722,-115.977077,18.553075,6,0
18723,-115.892078,18.560976,6,0
18724,-115.80707,18.568829,6,0
18725,-115.722051,18.576635,6,0
18726,-115.637023,18.584392,6,0
18727,-115.551985,18.592102,6,0
18728,-115.466938,18.599763,6,0
18729,-115.381882,18.607377,6,0
18730,-115.296815,18.614942,6,0
18731,-115.21174,18.622459,6,0
18732,-115.126655,18.629929,6,0
18733,-115.041561,18.63735,6,0
18734,-114.956458,18.644723,6,0
18735,-114.871345,18.652048,6,0
18736,-114.786224,18.659326,6,0
18737,-114.701093,18.666554,6,0
18738,-114.615953,18.673735,6,0
18739,-114.530805,18.680868,6,0
18740,-114.445647,18.687953,6,0
18741,-114.360481,18.694989,6,0
18742,-114.275306,18.701978,6,0
18743,-114.190123,18.708918,6,0
18744,-114.104931,18.71581,6,0
18745,-114.01973,18.722654,6,0
18746,-113.934521,18.72945,6,0
18747,-113.849303,18.736197,6,0
18748,-113.764077,18.742897,6,0
18749,-113.678842,18.749548,6,0
18750,-113.5936,18.756151,6,0
18751,-113.508349,18.762706,6,0
18752,-113.42309,18.769212,6,0
18753,-113.337823,18.775671,6,0
18754,-113.252547,18.782081,6,0
18755,-113.167264,18.788443,6,0
18756,-113.081973,18.794756,6,0
18757,-112.996674,18.801022,6,0
18758,-112.911368,18.807239,6,0
18759,-112.826053,18.813408,6,0
18760,-112.740731,18.819528,6,0
18761,-112.655401,18.825601,6,0
18762,-112.570064,18.831624,6,0
18763,-112.484719,18.8376,6,0
18764,-112.399367,18.843527,6,0
18765,-112.314007,18.849406,6,0
18766,-112.22864,18.855237,6,0
18767,-112.143266,18.861019,6,0
18768,-112.057885,18.866753,6,0
18769,-111.972496,18.872439,6,0
18770,-111.8871,18.878076,6,0
18771,-111.801698,18.883665,6,0
18772,-111.716288,18.889206,6,0
18773,-111.630872,18.894698,6,0
18774,-111.545448,18.900142,6,0
18775,-111.460018,18.905537,6,0
18776,-111.374581,18.910884,6,0
18777,-111.289138,18.916183,6,0
18778,-111.203688,18.921433,6,0
18779,-111.118231,18.926635,6,0
18780,-111.032768,18.931788,6,0
18781,-110.947298,18.936893,6,0
18782,-110.861822,18.941949,6,0
18783,-110.77634,18.946957,6,0
18784,-110.690851,18.951917,6,0
18785,-110.605357,18.956828,6,0
18786,-110.519856,18.961691,6,0
18787,-110.434349,18.966505,6,0
18788,-110.348836,18.97127,6,0
18789,-110.263317,18.975988,6,0
18790,-110.177793,18.980656,6,0
18791,-110.092262,18.985276,6,0
18792,-110.006726,18.989848,6,0
18793,-109.921184,18.994371,6,0
18794,-109.835636,18.998846,6,0
18795,-109.750083,19.003272,6,0
18796,-109.664524,19.00765,6,0
18797,-109.57896,19.011979,6,0
18798,-109.493391,19.01626,6,0
18799,-109.407816,19.020492,6,0
18800,-109.322235,19.024675,6,0
18801,-109.23665,19.02881,6,0
18802,-109.151059,19.032897,6,0
18803,-109.065464,19.036934,6,0
18804,-108.979863,19.040924,6,0
18805,-108.894257,19.044864,6,0
18806,-108.808647,19.048756,6,0
18807,-108.723031,19.0526,6,0
18808,-108.637411,19.056395,6,0
18809,-108.551786,19.060141,6,0
18810,-108.466156,19.063839,6,0
18811,-108.380522,19.067488,6,0
18812,-108.294883,19.071089,6,0
18813,-108.20924,19.074641,6,0
18814,-108.123592,19.078144,6,0
18815,-108.03794,19.081599,6,0
