GRIDCODE,CVENTMUN,Fpv,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
6930,20482,0.003004502,123287.9407,370.418893
6930,20285,0.19890189,37629.94613,7484.667421
6930,20285,0.054886849,37629.94613,2065.389162
6931,20090,0.007006445,28506.77353,199.7311416
6932,20090,0.046527881,28506.77353,1326.359772
6941,20314,0.018578991,14583.53134,270.9472932
6942,20277,0.052762347,96834.20632,5109.20003
6942,20314,0.505773468,14583.53134,7375.963219
6947,20059,0.055018301,60015.97562,3301.977032
6947,20061,1,8904.856458,8904.856458
6948,20059,0.013920977,60015.97562,835.48103
6948,20059,0.121959567,60015.97562,7319.522406
6948,20059,0.096733757,60015.97562,5805.570795
6948,20059,0.033214264,60015.97562,1993.386461
6964,20515,0.004078057,160969.8669,656.4442449
6964,20079,0.030032096,56207.07171,1688.016181
6964,20515,0.09822514,160969.8669,15811.28768
6964,20515,0.008290627,160969.8669,1334.541112
6964,20515,0.003796242,160969.8669,611.0805182
6965,20308,0.084248875,4802.438729,404.6000589
6965,20308,0.352336879,4802.438729,1692.076272
6965,20043,0.016877704,160009.6068,2700.594773
6965,20124,0.053668164,32740.33804,1757.113834
6966,20043,0.000177566,160009.6068,28.41226368
6966,20124,0.059211197,32740.33804,1938.594609
6977,20327,0.113003306,94469.66905,10675.38491
6978,20327,0.046611787,94469.66905,4403.400059
6978,7009,0.003349229,103484.1026,346.5919118
6978,20327,0.079997925,94469.66905,7557.37749
6978,7009,0.093464872,103484.1026,9672.128403
6978,7009,0.071863907,103484.1026,7436.771963
6979,7009,0.196789187,103484.1026,20364.55244
6980,7009,0.066629987,103484.1026,6895.144442
6980,7009,0.007097847,103484.1026,734.5143684
6980,7009,0.010281219,103484.1026,1063.94277
6980,7009,0.058773489,103484.1026,6082.121749
6980,7097,0.013969255,359396.2642,5020.497945
6980,7009,0.243792712,103484.1026,25228.66997
6981,7097,0.030632716,359396.2642,11009.28363
6987,7107,0.058198874,201698.9614,11738.65239
6987,7107,0.028650221,201698.9614,5778.719811
6987,7108,0.005992545,227170.3406,1361.328397
6987,7107,0.04024848,201698.9614,8118.076615
