kg,PM10,PM2.5,NOx,SO2,CO,VOC, NH3,CN, CO2,CH4
11018,0.004431455,0.004366919,0.004622338,0.005108625,0.004176545,0.007920603,0.005016973,0.004269836,0.004176545,0.007920603
11019,0.003274556,0.0028409,0.003335123,0.006009221,0.005375265,0.010768164,0.00785634,0.002398576,0.005375265,0.010768164
11020,0.158566036,0.150653294,0.158167176,0.186843438,0.184248899,0.142996052,0.243450201,0.144128921,0.184248899,0.142996052
11021,0.006248007,0.005518423,0.00545977,0.009070914,0.005544883,0.011505355,0.012720277,0.004891687,0.005544883,0.011505355
11022,0.001420767,0.00126445,0.001429253,0.002425046,0.002113679,0.004324716,0.003137529,0.001110231,0.002113679,0.004324716
11023,0.023249145,0.022983653,0.024424135,0.026830077,0.021350114,0.042064511,0.026511326,0.022627376,0.021350114,0.042064511
11024,0.003655289,0.003676175,0.003864836,0.003964282,0.002794384,0.005541707,0.003512732,0.003683703,0.002794384,0.005541707
11025,0.003259347,0.002730342,0.002894691,0.005937091,0.004139315,0.008982113,0.008835742,0.002238383,0.004139315,0.008982113
11026,0.005741359,0.005604684,0.005655274,0.006980453,0.005681788,0.011154509,0.007223643,0.00543435,0.005681788,0.011154509
11027,0.096499737,0.098785886,0.106206805,0.082999681,0.140936102,0.080780472,0.071524274,0.100938516,0.140936102,0.080780472
11028,0.010536045,0.010029725,0.010415286,0.013809391,0.010150913,0.020173463,0.015620513,0.009484368,0.010150913,0.020173463
11029,0.001669015,0.001394327,0.001619836,0.003551674,0.002504721,0.005513448,0.00497788,0.001146752,0.002504721,0.005513448
11030,0.004837515,0.004236672,0.004619151,0.008696439,0.006708767,0.014047107,0.011547954,0.003661663,0.006708767,0.014047107
11031,0.011640025,0.010654351,0.010946028,0.016494153,0.012537298,0.024754713,0.021097715,0.009712173,0.012537298,0.024754713
11032,0.008765942,0.008436861,0.009080641,0.010888032,0.008441906,0.016340511,0.012545577,0.008088986,0.008441906,0.016340511
11033,0.010621618,0.009947814,0.010324154,0.014957385,0.01038031,0.021309118,0.017773923,0.009274936,0.01038031,0.021309118
11034,0.000252872,0.000218467,0.000232379,0.000460964,0.000246453,0.000566441,0.000664677,0.000184655,0.000246453,0.000566441
11035,0.00893567,0.008894529,0.009327509,0.010034071,0.006582301,0.013243464,0.009650703,0.008830653,0.006582301,0.013243464
11036,0.001014657,0.000986313,0.000931919,0.001255118,0.000778136,0.001597829,0.001347182,0.000956352,0.000778136,0.001597829
11037,0.01285891,0.012272319,0.012403138,0.01604295,0.012047608,0.02289284,0.01850201,0.01166932,0.012047608,0.02289284
11038,0.000909239,0.000796522,0.001003939,0.001504115,0.001805127,0.003344845,0.001914357,0.000669251,0.001805127,0.003344845
11039,0.005897956,0.005917713,0.005927478,0.006396568,0.004393139,0.008646597,0.005797072,0.005897753,0.004393139,0.008646597
11040,0.000445393,0.000384233,0.000414712,0.000808077,0.00039228,0.000897879,0.001177814,0.000325376,0.00039228,0.000897879
11041,0.005855025,0.005385033,0.005006752,0.007958928,0.005359268,0.010955653,0.009974365,0.004958084,0.005359268,0.010955653
11042,0.014345958,0.013958595,0.014457304,0.017836318,0.01342938,0.026850093,0.019260947,0.013562919,0.01342938,0.026850093
11043,0.000907757,0.000801005,0.000815595,0.001571203,0.000913113,0.002011463,0.002182033,0.000701452,0.000913113,0.002011463
11044,0.007804116,0.007901332,0.007443642,0.007778743,0.003912947,0.0079182,0.00703203,0.007989473,0.003912947,0.0079182
11045,0.000181169,0.000171129,0.00016295,0.000264857,8.44E-05,0.000206084,0.000321078,0.000161421,8.44E-05,0.000206084
11046,0.005205717,0.004617613,0.005066343,0.008771997,0.007143691,0.014760972,0.011721962,0.00404618,0.007143691,0.014760972
12001,0.364888057,0.353905739,0.361786814,0.379896486,0.355789787,0.378543148,0.417237625,0.348079767,0.355789787,0.378543148
12002,0.016891132,0.021053609,0.012332402,0.008475806,0.002934843,0.002546609,0.001670626,0.02576856,0.002934843,0.002546609
12003,0.003919672,0.004297122,0.002862965,0.003238142,0.002461484,0.002332048,0.002457884,0.004703018,0.002461484,0.002332048
